iid,clone_from
68108d66bb7a9c835e0d17b6,67f5d22c02d7a39cd5026aab
68108d9060c226878602a0f1,67f4f85d169849a37d09e461
68108db9bb7a9c835e0d17bd,67f4db29e366bb8d710b9f76
68182ff4b6e1cf33730a706b,67f5dd86919710493a084591
68182ff4b6e1cf33730a706c,67f5d78347f6a738e7022687
68182ff4b6e1cf33730a706d,67f5ea2bc4d5cb7c90033d5d
68182ff4b6e1cf33730a706e,67f5e43f5625bedc7d02c89c
68182ff4b6e1cf33730a706f,67f4fa96fa4251a23607a2d2
68182ff4b6e1cf33730a7070,67f5d5ac0d1ed076e00bce7c
68182ff4b6e1cf33730a7071,67f618042885ef05ec09f6ef
68182ff4b6e1cf33730a7072,67f61cf9a63254418307c1b0
68182ff4b6e1cf33730a7073,67f61f5c12b76bbe3a07f186
68182ff5b6e1cf33730a7074,67f61fb788cbfa1432066c77
68182ff5b6e1cf33730a7075,67f4f90b0d7ae0b5010bf7ac
68182ff5b6e1cf33730a7076,67f61736bf81c2d90000627d
68182ff5b6e1cf33730a7078,67f4f7f9ab96cf88110a7ddc
68182ff5b6e1cf33730a7079,67f5f00760d98643ef04ecff
68182ff5b6e1cf33730a707b,67f4d3e932c55bfa5c0b93a9
68182ff5b6e1cf33730a707c,67f4d1d17b431bbc03029eb7
68182ff5b6e1cf33730a707d,67f4cecfe13b9e1e8b02cfe7
68182ff5b6e1cf33730a707e,67f4e8aad59a57956209b8b5
68182ff5b6e1cf33730a707f,67f4e2a0848eecaa9804964c
68182ff5b6e1cf33730a7080,67f4e3492be8fa729d08f674
68182ff5b6e1cf33730a7081,67f4defb4a0056473d0c7a87
68182ff5b6e1cf33730a7082,67f4da834bb0df879f0d7a96
68182ff5b6e1cf33730a7083,67f4dc7d706d184815063590
68182ff5b6e1cf33730a7084,67f4c9e1171f051253093e77
68182ff5b6e1cf33730a7085,67f4dad8e366bb8d710b9f67
68182ff5b6e1cf33730a7086,67f4d80591b4a6300f05c746
68182ff5b6e1cf33730a7089,67f49ef1e6e577725b031fb6
68182ff5b6e1cf33730a708a,67f4a090ef68aabbcf0f8909
68182ff5b6e1cf33730a708b,67f4de0aac67b87b690cb4e4
68182ff5b6e1cf33730a708c,67f4de0aac67b87b690cb4e5
68182ff5b6e1cf33730a708d,67f4de0aac67b87b690cb4e7
68182ff5b6e1cf33730a708e,67f5cdcd26f1f79f14040d05
68182ff5b6e1cf33730a708f,67f4f67352a81ea260076ae0
68182ff5b6e1cf33730a7090,67f4f59bdd521060e70f50ba
68182ff5b6e1cf33730a7091,67f4f3badbe9051a760a49d1
68182ff5b6e1cf33730a7092,67f4f262c1b2bffbb4031a31
68182ff5b6e1cf33730a7093,67f5d09daccb8064f005b7e7
68182ff5b6e1cf33730a7094,67f4f85d169849a37d09e461
68182ff6b6e1cf33730a7095,67f5d1b25b0eaac08e06ecd4
68182ff6b6e1cf33730a7096,67f5d22c02d7a39cd5026aab
68182ff6b6e1cf33730a7097,67f4ec1054d3ee4d04060ce5
68182ff6b6e1cf33730a709a,678f73fabb51a735dc07762c
68182ff6b6e1cf33730a709b,679064b3cd53efab3308ab92
68182ff6b6e1cf33730a709c,67ab0d875f49b44b63074ac5
68182ff6b6e1cf33730a709d,67a33a2925030fce3b0721fa
68182ff6b6e1cf33730a709e,6790681d8b1626dda40b5507
68182ff6b6e1cf33730a709f,67ab0d0bb272ccffd10a3a12
68182ff6b6e1cf33730a70a0,67a339bc99229e4a2200962a
68182ff6b6e1cf33730a70a1,6790636e07247648d8017d79
68182ff6b6e1cf33730a70a2,67ab0ec5db2d8012bd0f9683
68182ff6b6e1cf33730a70a3,678f7172fe2f2c2a10011e4a
68182ff6b6e1cf33730a70a4,6790624307247648d8017d59
68182ff6b6e1cf33730a70a5,67ab057d98bf3e1b8c0bd599
68182ff6b6e1cf33730a70a6,67ab0d62a4a8497c4b0233fa
68182ff6b6e1cf33730a70a7,67906078702f932839009cab
68182ff6b6e1cf33730a70a8,67aaf74446eecfce370fc334
68182ff6b6e1cf33730a70aa,67b2edfdd5774c717c09024b
68182ff6b6e1cf33730a70ab,67b2ee7c4f2693490f0de8b1
68182ff6b6e1cf33730a70ac,67b2eed74f2693490f0de8b7
68182ff6b6e1cf33730a70ad,67b6d13c74e17e04e40decae
68182ff6b6e1cf33730a70ae,67b2f0afecb6f296b2079dd5
68182ff6b6e1cf33730a70af,67b2f16a11ba3cc0f8092911
68182ff6b6e1cf33730a70b0,67b6d5cef3bc9beac100e817
68182ff6b6e1cf33730a70b1,67b2f2668f3c5c8b7c0e4aaa
68182ff6b6e1cf33730a70b2,67b2f3b48f3c5c8b7c0e4aae
68182ff6b6e1cf33730a70b3,67b2f45f79bd661e0604d8a8
68182ff6b6e1cf33730a70b4,67b2f50379bd661e0604d8a9
68182ff6b6e1cf33730a70b5,67b2f58779bd661e0604d8ae
68182ff6b6e1cf33730a70b8,67c7f85800dc4d41ee011446
68182ff7b6e1cf33730a70b9,67c7f783e6f9a9748302d37f
68182ff7b6e1cf33730a70ba,67c7f71dcf22913b740ab82c
68182ff7b6e1cf33730a70bb,67ba9e1d9cc98020360e3862
68182ff7b6e1cf33730a70bc,67ba9d696377264082098cc2
68182ff7b6e1cf33730a70bd,67ca61ba660ee86a760ade11
68182ff7b6e1cf33730a70be,67ca6080130bb758a10eb456
68182ff7b6e1cf33730a70bf,67ca5fa93c1afa87b10b6042
68182ff7b6e1cf33730a70c0,67ba9a31eef8b156e100c742
68182ff7b6e1cf33730a70c1,67c7f59bbcf294ad8d0a5dc6
68182ff7b6e1cf33730a70c2,67ca55e7dafa48d79605bdf5
68182ff7b6e1cf33730a70c3,67ba974febe0ac7dea0a5d84
68182ff7b6e1cf33730a70c4,67c7f44e4c83b55b71070e2c
68182ff7b6e1cf33730a70c5,67c7f17cdf75c925cc04d59e
68182ff7b6e1cf33730a70c6,67ba94e3430b5e95d8038103
68182ff7b6e1cf33730a70c8,67cfb43b5c58222c81049692
68182ff7b6e1cf33730a70c9,67cfb1a11ce60af9640d557e
68182ff7b6e1cf33730a70ca,67cfae751ce60af9640d5547
68182ff7b6e1cf33730a70cb,67cfadfea6fef3868108d4f9
68182ff7b6e1cf33730a70cc,67cfad7fa6fef3868108d4f1
68182ff7b6e1cf33730a70cd,67cfaca9bb271b196d0ab735
68182ff7b6e1cf33730a70ce,67cfac20bb271b196d0ab724
68182ff7b6e1cf33730a70cf,67cfab1b66abb4171200581a
68182ff7b6e1cf33730a70d0,67cfaa21a6fef3868108d4ae
68182ff7b6e1cf33730a70d1,67cfa9a4abc90d40a9026873
68182ff7b6e1cf33730a70d2,67cfa921f17dfde6b30fa15d
68182ff7b6e1cf33730a70d3,67cfa659b1a9a013b200c9fb
68182ff7b6e1cf33730a70d6,67efb5a916cbbafc4b0daa87
68182ff7b6e1cf33730a70d7,67efb4662cfc085f580f32f4
68182ff7b6e1cf33730a70d8,67f48b3bdc2e027f71033007
68182ff7b6e1cf33730a70d9,67f48841ec2a684d5304fee2
68182ff7b6e1cf33730a70da,67f47eddde9585308109fa42
68182ff7b6e1cf33730a70db,67f47e471f79806de9026946
68182ff8b6e1cf33730a70dc,67efb0de8256525d3a017eb4
68182ff8b6e1cf33730a70dd,67f47628902d6c8af00b03b2
68182ff8b6e1cf33730a70de,67f486df5634956dc90957c4
68182ff8b6e1cf33730a70df,67efaec6922c938dbf0f1792
68182ff8b6e1cf33730a70e0,67efad105dec5f8f160c9217
68182ff8b6e1cf33730a70e1,67f3d80504ea81b7930edac3
68182ff8b6e1cf33730a70e3,67efddd92cd523b3c20abe39
68182ff8b6e1cf33730a70e4,67efdb70fc62a5897e0297ab
68182ff8b6e1cf33730a70e5,67efc5d660c2ab20400bc755
68182ff8b6e1cf33730a70e6,67f4a5ebcedb4609ef055157
68182ff8b6e1cf33730a70e7,67f4a556535e778c5a0a2ee2
